id	action	attribute	value
nmdc:omprc-11-n81fed07	update	has_input	 nmdc:dobj-11-zp8y8706
nmdc:omprc-11-y6a4a751	update	has_input	 nmdc:dobj-11-hxpyr783
nmdc:omprc-11-jdn7t580	update	has_input	 nmdc:dobj-11-p83she53
nmdc:omprc-11-gqqn9s76	update	has_input	 nmdc:dobj-11-zsjnzy61
nmdc:omprc-11-e8g0x640	update	has_input	 nmdc:dobj-11-zmsy8g60
nmdc:omprc-11-ar7xyy02	update	has_input	 nmdc:dobj-11-rjpqdg61
nmdc:omprc-11-x7wa2f92	update	has_input	 nmdc:dobj-11-wxxce156
nmdc:omprc-11-12yc8z47	update	has_input	 nmdc:dobj-11-g9y63y11
nmdc:omprc-11-tvrwvx57	update	has_input	 nmdc:dobj-11-9tesv782
nmdc:omprc-11-qt23cc45	update	has_input	 nmdc:dobj-11-ha2grm22
nmdc:omprc-11-3tce2d28	update	has_input	 nmdc:dobj-11-a7jp2y68
nmdc:omprc-11-y8rt3j77	update	has_input	 nmdc:dobj-11-z8zzxy29
nmdc:omprc-11-wfzppa38	update	has_input	 nmdc:dobj-11-9gcej008
nmdc:omprc-11-zderzd14	update	has_input	 nmdc:dobj-11-421jnb25
nmdc:omprc-11-nfce4r12	update	has_input	 nmdc:dobj-11-sktxhz28
nmdc:omprc-11-3cb88758	update	has_input	 nmdc:dobj-11-zh8bje59
nmdc:omprc-11-xp74k207	update	has_input	 nmdc:dobj-11-8b08d605
nmdc:omprc-11-ntj89023	update	has_input	 nmdc:dobj-11-8rq8rp06
nmdc:omprc-11-01pm7g24	update	has_input	 nmdc:dobj-11-2th53141
