collection_name	legacy_id	new_id
omics_processing_set	emsl:598849	nmdc:omprc-11-n81fed07
omics_processing_set	emsl:598853	nmdc:omprc-11-gqqn9s76
omics_processing_set	emsl:598852	nmdc:omprc-11-y6a4a751
omics_processing_set	emsl:598509	nmdc:omprc-11-ar7xyy02
omics_processing_set	emsl:598847	nmdc:omprc-11-12yc8z47
omics_processing_set	emsl:598517	nmdc:omprc-11-x7wa2f92
omics_processing_set	emsl:598511	nmdc:omprc-11-tvrwvx57
omics_processing_set	emsl:598515	nmdc:omprc-11-jdn7t580
omics_processing_set	emsl:598850	nmdc:omprc-11-e8g0x640
omics_processing_set	emsl:598506	nmdc:omprc-11-qt23cc45
omics_processing_set	emsl:598846	nmdc:omprc-11-3tce2d28
omics_processing_set	emsl:598516	nmdc:omprc-11-y8rt3j77
omics_processing_set	emsl:598513	nmdc:omprc-11-wfzppa38
omics_processing_set	emsl:598520	nmdc:omprc-11-zderzd14
omics_processing_set	emsl:598851	nmdc:omprc-11-3cb88758
omics_processing_set	emsl:598848	nmdc:omprc-11-nfce4r12
omics_processing_set	emsl:598508	nmdc:omprc-11-ntj89023
omics_processing_set	emsl:598510	nmdc:omprc-11-01pm7g24
omics_processing_set	emsl:598512	nmdc:omprc-11-xp74k207
omics_processing_set	gold:Gp0138763	nmdc:omprc-13-vb283x51
nom_analysis_activity_set	nmdc:b712f0b5e8dc4c5394a5f70aaa755b4f	nmdc:wfnom-13-k381q936.1
biosample_set	gold:Gb0139010	nmdc:bsm-13-y2s5yw49
biosample_set	gold:Gb0153616	nmdc:bsm-13-p0q6k325
biosample_set	gold:Gb0139039	nmdc:bsm-13-gre72d26
omics_processing_set	emsl:570993	nmdc:omprc-13-vam8ds93
omics_processing_set	emsl:570855	nmdc:omprc-13-vktqxb17
data_object_set	nmdc:043c430c590c8deefa39404380e58697	nmdc:dobj-13-371fx262
biosample_set	gold:Gb0139026	nmdc:bsm-13-86c1zk13
biosample_set	gold:Gb0153618	nmdc:bsm-13-dccq0665
biosample_set	emsl:2f7116fe-5dd1-11ec-bf63-0242ac130002	nmdc:bsm-13-zaezdc83
