collection_name	legacy_id	new_id
biosample_set	gold:Gb0119276	nmdc:bsm-11-a6p0kd54
omics_processing_set	gold:Gp0119859	nmdc:omprc-11-qc2aex84
biosample_set	gold:Gb0119259	nmdc:bsm-11-yvzvbr38
biosample_set	gold:Gb0119264	nmdc:bsm-11-kmpwgz16
biosample_set	gold:Gb0119279	nmdc:bsm-11-35m0rm03
biosample_set	gold:Gb0119275	nmdc:bsm-11-af8kqq09
biosample_set	gold:Gb0119260	nmdc:bsm-11-gvp5zp51
biosample_set	gold:Gb0119267	nmdc:bsm-11-tn8q1269
omics_processing_set	gold:Gp0119862	nmdc:omprc-11-mapkq887
omics_processing_set	gold:Gp0119863	nmdc:omprc-11-mcg41v41
omics_processing_set	gold:Gp0119851	nmdc:omprc-11-kr63ag65
omics_processing_set	gold:Gp0119866	nmdc:omprc-11-y8rfhy91
biosample_set	gold:Gb0119261	nmdc:bsm-11-kqbbyb62
biosample_set	gold:Gb0119266	nmdc:bsm-11-kv966g71
omics_processing_set	gold:Gp0119854	nmdc:omprc-11-b18xhw81
biosample_set	gold:Gb0119272	nmdc:bsm-11-sa4z4f71
biosample_set	gold:Gb0119271	nmdc:bsm-11-gnbsqd30
study_set	gold:Gs0114675	nmdc:sty-11-8fb6t785
biosample_set	gold:Gb0119263	nmdc:bsm-11-7b566r47
omics_processing_set	gold:Gp0119861	nmdc:omprc-11-8m2ks236
biosample_set	gold:Gb0119274	nmdc:bsm-11-ttg2t449
biosample_set	gold:Gb0119269	nmdc:bsm-11-jx6ar740
biosample_set	gold:Gb0142710	nmdc:bsm-11-nher1m25
omics_processing_set	gold:Gp0119867	nmdc:omprc-11-p0v23a76
omics_processing_set	gold:Gp0119860	nmdc:omprc-11-f59ge625
biosample_set	gold:Gb0119268	nmdc:bsm-11-m5prkp97
biosample_set	gold:Gb0119277	nmdc:bsm-11-veffrc25
omics_processing_set	gold:Gp0119849	nmdc:omprc-11-ak6mc016
biosample_set	gold:Gb0119281	nmdc:bsm-11-fbm8fa50
omics_processing_set	gold:Gp0119868	nmdc:omprc-11-q1cdx826
biosample_set	gold:Gb0119270	nmdc:bsm-11-m69k6p77
omics_processing_set	gold:Gp0153825	nmdc:omprc-11-xma0h275
biosample_set	gold:Gb0119262	nmdc:bsm-11-byzpm179
omics_processing_set	gold:Gp0119864	nmdc:omprc-11-8jv71e08
omics_processing_set	gold:Gp0119858	nmdc:omprc-11-5aqhbz03
omics_processing_set	gold:Gp0119853	nmdc:omprc-11-gycn8p43
omics_processing_set	gold:Gp0119857	nmdc:omprc-11-vra7wc02
biosample_set	gold:Gb0119265	nmdc:bsm-11-fqchmc77
omics_processing_set	gold:Gp0119869	nmdc:omprc-11-d4tqex37
biosample_set	gold:Gb0119273	nmdc:bsm-11-3r4g4610
omics_processing_set	gold:Gp0119865	nmdc:omprc-11-91n36k52
omics_processing_set	gold:Gp0119850	nmdc:omprc-11-hs5kpw81
omics_processing_set	gold:Gp0119856	nmdc:omprc-11-tqfhb041
omics_processing_set	gold:Gp0119855	nmdc:omprc-11-3y0tmt59
biosample_set	gold:Gb0119278	nmdc:bsm-11-2hswww54
omics_processing_set	gold:Gp0119852	nmdc:omprc-11-1479s626
omics_processing_set	gold:Gp0119871	nmdc:omprc-11-518ps980
