collection_name	type	id
omics_processing_set	nmdc:OmicsProcessing	nmdc:omprc-11-ak6mc016
omics_processing_set	nmdc:OmicsProcessing	nmdc:omprc-11-kr63ag65
omics_processing_set	nmdc:OmicsProcessing	nmdc:omprc-11-gycn8p43
omics_processing_set	nmdc:OmicsProcessing	nmdc:omprc-11-5aqhbz03
omics_processing_set	nmdc:OmicsProcessing	nmdc:omprc-11-hs5kpw81
omics_processing_set	nmdc:OmicsProcessing	nmdc:omprc-11-3y0tmt59
omics_processing_set	nmdc:OmicsProcessing	nmdc:omprc-11-vra7wc02
omics_processing_set	nmdc:OmicsProcessing	nmdc:omprc-11-f59ge625
omics_processing_set	nmdc:OmicsProcessing	nmdc:omprc-11-1479s626
omics_processing_set	nmdc:OmicsProcessing	nmdc:omprc-11-b18xhw81
omics_processing_set	nmdc:OmicsProcessing	nmdc:omprc-11-8m2ks236
omics_processing_set	nmdc:OmicsProcessing	nmdc:omprc-11-8jv71e08
omics_processing_set	nmdc:OmicsProcessing	nmdc:omprc-11-mapkq887
omics_processing_set	nmdc:OmicsProcessing	nmdc:omprc-11-tqfhb041
omics_processing_set	nmdc:OmicsProcessing	nmdc:omprc-11-qc2aex84
omics_processing_set	nmdc:OmicsProcessing	nmdc:omprc-11-d4tqex37
omics_processing_set	nmdc:OmicsProcessing	nmdc:omprc-11-518ps980
omics_processing_set	nmdc:OmicsProcessing	nmdc:omprc-11-mcg41v41
omics_processing_set	nmdc:OmicsProcessing	nmdc:omprc-11-y8rfhy91
omics_processing_set	nmdc:OmicsProcessing	nmdc:omprc-11-xma0h275
omics_processing_set	nmdc:OmicsProcessing	nmdc:omprc-11-p0v23a76
omics_processing_set	nmdc:OmicsProcessing	nmdc:omprc-11-91n36k52
omics_processing_set	nmdc:OmicsProcessing	nmdc:omprc-11-q1cdx826
