collection_name	legacy_id	new_id
omics_processing_set	emsl:738655	nmdc:omprc-11-12jf3456
omics_processing_set	gold:Gp0324038	nmdc:omprc-11-c06jfz22
omics_processing_set	emsl:748007	nmdc:omprc-11-cysygs38
omics_processing_set	emsl:739488	nmdc:omprc-11-v2s7wt02
omics_processing_set	emsl:738627	nmdc:omprc-11-scpbrd05
biosample_set	igsn:IEWFS001F	nmdc:bsm-11-29d9a657
omics_processing_set	emsl:769673	nmdc:omprc-11-3rhqtx16
omics_processing_set	emsl:749024	nmdc:omprc-11-mvmr7d93
omics_processing_set	emsl:724078	nmdc:omprc-11-m3ez4h22
omics_processing_set	gold:Gp0324062	nmdc:omprc-11-m3crv637
omics_processing_set	gold:Gp0324044	nmdc:omprc-11-4nj72263
omics_processing_set	emsl:717361	nmdc:omprc-11-d1y2rt42
omics_processing_set	emsl:738805	nmdc:omprc-11-3pf9c248
omics_processing_set	emsl:738686	nmdc:omprc-11-g4xcrx69
omics_processing_set	emsl:724435	nmdc:omprc-11-x2v1t879
omics_processing_set	gold:Gp0324047	nmdc:omprc-11-nfr98091
omics_processing_set	emsl:738701	nmdc:omprc-11-95catj32
omics_processing_set	emsl:723617	nmdc:omprc-11-t2317225
omics_processing_set	emsl:724074	nmdc:omprc-11-xzd2zf78
omics_processing_set	emsl:723571	nmdc:omprc-11-btar7a11
omics_processing_set	emsl:738843	nmdc:omprc-11-ctn1ah51
omics_processing_set	emsl:743576	nmdc:omprc-11-gmv6sa24
biosample_set	igsn:IEWFS0003	nmdc:bsm-11-xcyvst62
omics_processing_set	gold:Gp0324057	nmdc:omprc-11-5tff8a55
omics_processing_set	emsl:738782	nmdc:omprc-11-p29fy802
omics_processing_set	emsl:738625	nmdc:omprc-11-73x30h48
omics_processing_set	emsl:743589	nmdc:omprc-11-3abb3q40
omics_processing_set	emsl:738623	nmdc:omprc-11-c2cq8w84
omics_processing_set	emsl:705731	nmdc:omprc-11-mfjkg768
omics_processing_set	emsl:743578	nmdc:omprc-11-2wksyj50
omics_processing_set	gold:Gp0321273	nmdc:omprc-11-06t74t89
omics_processing_set	emsl:724422	nmdc:omprc-11-bgtzcs75
omics_processing_set	emsl:715320	nmdc:omprc-11-rbznq861
omics_processing_set	emsl:743596	nmdc:omprc-11-zag02388
omics_processing_set	emsl:715307	nmdc:omprc-11-y49kfp85
omics_processing_set	emsl:747946	nmdc:omprc-11-e00d9b89
omics_processing_set	emsl:738806	nmdc:omprc-11-5ethx107
omics_processing_set	emsl:723589	nmdc:omprc-11-8k4ttj48
omics_processing_set	emsl:713586	nmdc:omprc-11-ka9jae92
omics_processing_set	emsl:738809	nmdc:omprc-11-sxzd0555
omics_processing_set	gold:Gp0324052	nmdc:omprc-11-5pdhma95
omics_processing_set	emsl:724416	nmdc:omprc-11-zns9hc70
omics_processing_set	gold:Gp0396399	nmdc:omprc-11-93btbb47
omics_processing_set	emsl:715131	nmdc:omprc-11-t88ntb43
biosample_set	igsn:IEWFS001B	nmdc:bsm-11-q71pns38
omics_processing_set	gold:Gp0321297	nmdc:omprc-11-0p5zak44
omics_processing_set	emsl:743561	nmdc:omprc-11-h5zjts80
omics_processing_set	emsl:738673	nmdc:omprc-11-hpvrgr34
omics_processing_set	emsl:738651	nmdc:omprc-11-q79wr449
omics_processing_set	emsl:769760	nmdc:omprc-11-1neggp71
omics_processing_set	emsl:731078	nmdc:omprc-11-rzmc7t10
biosample_set	igsn:IEWFS000U	nmdc:bsm-11-0pq46m48
omics_processing_set	gold:Gp0321285	nmdc:omprc-11-dq6g4m57
omics_processing_set	emsl:743571	nmdc:omprc-11-dyw8rx80
omics_processing_set	emsl:724053	nmdc:omprc-11-mjktpg77
omics_processing_set	gold:Gp0321275	nmdc:omprc-11-znnrcs96
omics_processing_set	emsl:739467	nmdc:omprc-11-w059vd36
omics_processing_set	emsl:705734	nmdc:omprc-11-a63r6p47
omics_processing_set	emsl:738760	nmdc:omprc-11-rt8y9b75
omics_processing_set	emsl:705717	nmdc:omprc-11-q1jvg615
omics_processing_set	emsl:713595	nmdc:omprc-11-dyxrbk81
omics_processing_set	emsl:749033	nmdc:omprc-11-a7xwjj33
omics_processing_set	emsl:738833	nmdc:omprc-11-286vgj49
omics_processing_set	gold:Gp0321279	nmdc:omprc-11-drx50403
omics_processing_set	emsl:738659	nmdc:omprc-11-k5st6g31
biosample_set	igsn:IEWFS001C	nmdc:bsm-11-k3p2ap93
omics_processing_set	emsl:738729	nmdc:omprc-11-mzwxmy90
omics_processing_set	emsl:723584	nmdc:omprc-11-vkqbn854
omics_processing_set	emsl:724075	nmdc:omprc-11-9vbm4g80
omics_processing_set	gold:Gp0324049	nmdc:omprc-11-dggs6c67
omics_processing_set	emsl:724429	nmdc:omprc-11-46ewpf91
omics_processing_set	emsl:771476	nmdc:omprc-11-rpqxd089
omics_processing_set	emsl:717360	nmdc:omprc-11-kyjcpq11
omics_processing_set	emsl:724054	nmdc:omprc-11-rx0gfz57
omics_processing_set	emsl:713585	nmdc:omprc-11-m1mm0e35
omics_processing_set	emsl:769667	nmdc:omprc-11-cqrtcq81
omics_processing_set	gold:Gp0321290	nmdc:omprc-11-1r8zkv64
omics_processing_set	emsl:747973	nmdc:omprc-11-0v6ypn79
omics_processing_set	emsl:749039	nmdc:omprc-11-rcjp7545
omics_processing_set	emsl:738630	nmdc:omprc-11-q55a5c26
omics_processing_set	emsl:743572	nmdc:omprc-11-z47ysk63
omics_processing_set	emsl:705703	nmdc:omprc-11-sp27gz10
omics_processing_set	emsl:723648	nmdc:omprc-11-3b7s4033
omics_processing_set	emsl:747989	nmdc:omprc-11-5evh3135
omics_processing_set	emsl:738793	nmdc:omprc-11-bmtpjj33
omics_processing_set	emsl:738775	nmdc:omprc-11-kderev77
omics_processing_set	emsl:723575	nmdc:omprc-11-gwbgsq73
omics_processing_set	gold:Gp0324040	nmdc:omprc-11-0je03p79
omics_processing_set	emsl:738821	nmdc:omprc-11-sb2mqn79
omics_processing_set	emsl:743593	nmdc:omprc-11-xqf09580
omics_processing_set	emsl:769702	nmdc:omprc-11-rvx79n37
omics_processing_set	emsl:747948	nmdc:omprc-11-602yjb23
omics_processing_set	gold:Gp0321310	nmdc:omprc-11-4rfgze31
omics_processing_set	emsl:723626	nmdc:omprc-11-0wjf8j30
omics_processing_set	emsl:723643	nmdc:omprc-11-cpq9t457
omics_processing_set	emsl:749042	nmdc:omprc-11-4bkm8h92
omics_processing_set	emsl:738784	nmdc:omprc-11-f1dwmd03
omics_processing_set	gold:Gp0321270	nmdc:omprc-11-mgvz8g12
omics_processing_set	emsl:724057	nmdc:omprc-11-1kdzwc90
omics_processing_set	emsl:738690	nmdc:omprc-11-7p5yh409
omics_processing_set	emsl:749043	nmdc:omprc-11-brkhe637
biosample_set	igsn:IEWFS0001	nmdc:bsm-11-ywtc8b82
omics_processing_set	emsl:748018	nmdc:omprc-11-1caezz38
omics_processing_set	emsl:749040	nmdc:omprc-11-2wyw5284
omics_processing_set	emsl:723588	nmdc:omprc-11-878qkz47
omics_processing_set	emsl:743560	nmdc:omprc-11-gqxdrf92
omics_processing_set	emsl:705722	nmdc:omprc-11-bv21g222
omics_processing_set	emsl:738769	nmdc:omprc-11-c334q041
omics_processing_set	gold:Gp0324051	nmdc:omprc-11-5hskwj08
omics_processing_set	emsl:738840	nmdc:omprc-11-9gdey850
omics_processing_set	emsl:738700	nmdc:omprc-11-eykya571
omics_processing_set	emsl:769662	nmdc:omprc-11-9y55rq94
omics_processing_set	emsl:743583	nmdc:omprc-11-sry4y818
omics_processing_set	emsl:713153	nmdc:omprc-11-3akr7v07
omics_processing_set	emsl:715129	nmdc:omprc-11-s4rfq811
omics_processing_set	emsl:743597	nmdc:omprc-11-r418ym62
omics_processing_set	emsl:738762	nmdc:omprc-11-rsprhc80
omics_processing_set	emsl:738838	nmdc:omprc-11-p38fqr69
omics_processing_set	emsl:769684	nmdc:omprc-11-gme9vw45
omics_processing_set	emsl:705707	nmdc:omprc-11-0mbv7j82
omics_processing_set	emsl:738763	nmdc:omprc-11-fssms686
omics_processing_set	emsl:738772	nmdc:omprc-11-x33m3r78
omics_processing_set	emsl:705724	nmdc:omprc-11-d6gaqm51
omics_processing_set	emsl:724410	nmdc:omprc-11-0wrpqj11
omics_processing_set	emsl:723595	nmdc:omprc-11-gtynxs32
omics_processing_set	emsl:748022	nmdc:omprc-11-m74g0f96
omics_processing_set	emsl:743566	nmdc:omprc-11-ppm4mx05
omics_processing_set	emsl:769639	nmdc:omprc-11-qpn7wf17
omics_processing_set	emsl:705712	nmdc:omprc-11-h47pa056
omics_processing_set	emsl:748001	nmdc:omprc-11-3x68c186
omics_processing_set	emsl:713593	nmdc:omprc-11-06nyq555
omics_processing_set	emsl:738706	nmdc:omprc-11-vzf0e332
omics_processing_set	emsl:739479	nmdc:omprc-11-h1pqwh46
biosample_set	igsn:IEWFS000R	nmdc:bsm-11-h36vdc50
omics_processing_set	emsl:717362	nmdc:omprc-11-by2e0665
omics_processing_set	emsl:743586	nmdc:omprc-11-jmc6ab81
biosample_set	igsn:IEWFS0019	nmdc:bsm-11-qa4vm962
omics_processing_set	emsl:738617	nmdc:omprc-11-ns6p5d89
omics_processing_set	emsl:743575	nmdc:omprc-11-cawcwm11
omics_processing_set	emsl:769651	nmdc:omprc-11-mcyyce30
omics_processing_set	emsl:738705	nmdc:omprc-11-e1v0z392
omics_processing_set	gold:Gp0324033	nmdc:omprc-11-c62t4a06
omics_processing_set	emsl:738648	nmdc:omprc-11-sc4q9v39
omics_processing_set	emsl:748032	nmdc:omprc-11-yd8r3q14
omics_processing_set	emsl:713148	nmdc:omprc-11-b5rgp837
omics_processing_set	emsl:769752	nmdc:omprc-11-7ygafz27
omics_processing_set	emsl:738824	nmdc:omprc-11-k65gfz32
omics_processing_set	emsl:724094	nmdc:omprc-11-yba6vc27
omics_processing_set	emsl:717370	nmdc:omprc-11-tphwbt53
omics_processing_set	emsl:713582	nmdc:omprc-11-y1cgqe43
omics_processing_set	emsl:769685	nmdc:omprc-11-pgd9qv98
omics_processing_set	emsl:738768	nmdc:omprc-11-a142hb16
biosample_set	igsn:IEWFS0014	nmdc:bsm-11-y742vs93
omics_processing_set	gold:Gp0324059	nmdc:omprc-11-vdc5qe39
omics_processing_set	emsl:738767	nmdc:omprc-11-82wzvr47
omics_processing_set	gold:Gp0324045	nmdc:omprc-11-f022f763
omics_processing_set	emsl:723621	nmdc:omprc-11-4thk4020
omics_processing_set	emsl:705936	nmdc:omprc-11-xxz2t932
omics_processing_set	emsl:715305	nmdc:omprc-11-xsyr1e35
omics_processing_set	emsl:738616	nmdc:omprc-11-ca7ds518
omics_processing_set	emsl:739468	nmdc:omprc-11-d2xj9545
omics_processing_set	emsl:747942	nmdc:omprc-11-db9cx004
omics_processing_set	emsl:738748	nmdc:omprc-11-9xfb9e80
omics_processing_set	emsl:738743	nmdc:omprc-11-728s8471
omics_processing_set	emsl:743558	nmdc:omprc-11-18bvsb52
omics_processing_set	emsl:713600	nmdc:omprc-11-312t7h24
omics_processing_set	emsl:713144	nmdc:omprc-11-q562sw87
omics_processing_set	emsl:769638	nmdc:omprc-11-qmmc3w95
omics_processing_set	emsl:713150	nmdc:omprc-11-rjydzz49
omics_processing_set	emsl:749031	nmdc:omprc-11-svh22m07
omics_processing_set	emsl:723612	nmdc:omprc-11-qcf0ye42
omics_processing_set	emsl:738844	nmdc:omprc-11-erzxnw58
omics_processing_set	emsl:724414	nmdc:omprc-11-xtcnky83
